"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2017-07-31T22:00:00.000Z","243.38","243.99","230.94","239.66","-1.15","-2.12","84,525,400"
"2017-08-31T22:00:00.000Z","239.66","259.30","234.29","254.21","6.07","5.11","76,743,100"
"2017-10-01T22:00:00.000Z","254.65","267.21","253.53","257.98","1.48","0.52","68,772,900"
"2017-10-31T23:00:00.000Z","258.29","277.04","256.24","276.80","7.30","6.33","52,751,800"
"2017-11-30T23:00:00.000Z","277.51","299.33","270.60","294.91","6.54","5.58","71,520,900"
"2018-01-01T23:00:00.000Z","295.75","360.97","295.40","354.37","20.16","19.20","125,945,500"
"2018-01-31T23:00:00.000Z","352.95","371.60","317.39","362.21","2.21","1.25","116,097,000"
"2018-02-28T23:00:00.000Z","362.33","362.74","311.17","327.88","-9.48","-10.44","138,587,800"
"2018-04-01T22:00:00.000Z","325.20","347.67","311.88","333.56","1.73","0.77","103,765,100"
"2018-04-30T22:00:00.000Z","332.50","365.00","319.13","352.16","5.58","4.62","85,713,100"
"2018-05-31T22:00:00.000Z","355.79","374.48","327.29","335.51","-4.73","-5.69","84,391,800"
"2018-07-01T22:00:00.000Z","330.69","364.54","329.10","356.30","6.20","5.24","60,241,500"
"2018-07-31T22:00:00.000Z","354.09","357.91","328.03","342.79","-3.79","-4.75","62,969,600"
"2018-09-03T22:00:00.000Z","341.60","374.22","337.31","371.90","8.49","7.53","64,530,500"
"2018-09-30T22:00:00.000Z","375.16","394.28","328.63","354.86","-4.58","-5.54","100,261,700"
"2018-10-31T23:00:00.000Z","357.47","373.70","296.61","346.76","-2.28","-3.24","85,447,700"
"2018-12-02T23:00:00.000Z","364.31","369.00","292.47","322.50","-7.00","-7.96","91,168,000"
"2019-01-01T23:00:00.000Z","316.19","391.97","309.40","385.62","19.57","18.61","90,783,300"
"2019-01-31T23:00:00.000Z","386.11","441.42","384.73","439.96","14.09","13.13","76,882,600"
"2019-02-28T23:00:00.000Z","446.01","446.01","361.53","381.42","-13.31","-14.27","256,769,400"
"2019-03-31T22:00:00.000Z","385.80","398.66","362.92","377.69","-0.98","-1.94","141,408,400"
"2019-04-30T22:00:00.000Z","378.53","381.20","337.00","341.61","-9.55","-10.51","102,803,500"
"2019-06-02T22:00:00.000Z","338.20","379.31","330.67","364.01","6.56","5.60","80,830,700"
"2019-06-30T22:00:00.000Z","364.88","382.48","336.56","341.18","-6.27","-7.23","104,138,400"
"2019-07-31T22:00:00.000Z","341.91","369.69","319.55","364.09","6.71","5.75","95,853,200"
"2019-09-02T22:00:00.000Z","354.11","391.00","350.61","380.47","4.50","3.54","78,398,300"
"2019-09-30T22:00:00.000Z","381.70","382.85","324.40","339.91","-10.66","-11.62","112,287,600"
"2019-10-31T23:00:00.000Z","340.59","375.60","339.50","366.18","7.73","6.77","86,725,600"
"2019-12-01T23:00:00.000Z","367.08","367.38","320.61","325.76","-11.04","-12.00","127,581,300"
"2020-01-01T23:00:00.000Z","328.55","344.19","302.72","318.27","-2.30","-3.26","181,565,800"
"2020-02-02T23:00:00.000Z","318.75","349.95","269.60","275.11","-13.56","-14.52","118,286,400"
"2020-03-01T23:00:00.000Z","279.54","297.44","89.00","149.14","-45.79","-46.75","743,744,400"
"2020-03-31T22:00:00.000Z","138.91","164.80","120.02","141.02","-5.44","-6.40","818,969,800"
"2020-04-30T22:00:00.000Z","143.23","156.70","113.89","145.85","3.43","2.46","611,763,200"
"2020-05-31T22:00:00.000Z","145.45","234.20","144.55","183.30","25.68","24.72","1,465,133,000"
"2020-06-30T22:00:00.000Z","185.88","190.61","156.26","158.00","-13.80","-14.76","802,544,400"
"2020-08-02T22:00:00.000Z","156.51","189.97","153.41","171.82","8.75","7.79","624,367,500"
"2020-08-31T22:00:00.000Z","170.71","180.85","145.02","165.26","-3.82","-4.78","464,304,000"
"2020-09-30T22:00:00.000Z","170.15","175.56","141.58","144.39","-12.63","-13.59","421,965,600"
"2020-11-01T23:00:00.000Z","145.75","223.02","143.38","210.71","45.93","44.97","526,662,800"
"2020-11-30T23:00:00.000Z","214.31","244.08","210.30","214.06","1.59","0.63","409,359,400"
"2021-01-03T23:00:00.000Z","210.00","216.60","191.85","194.19","-9.28","-10.24","257,714,800"
"2021-01-31T23:00:00.000Z","196.00","229.61","192.86","212.01","9.18","8.22","244,129,700"
"2021-02-28T23:00:00.000Z","219.60","278.57","213.80","254.72","20.15","19.19","518,525,300"
