Date,Close,Volume,Open,High,Low
09/20/2019,$379.39,6853019,$384.11,$384.73,$377.9201
09/19/2019,$384.44,3026629,$386.14,$388.52,$382.9035
09/18/2019,$386.41,4241370,$383.25,$386.74,$379.80
09/17/2019,$384.20,3299033,$378.41,$385.3065,$377.80
09/16/2019,$378.85,3055451,$378.14,$381.6331,$375.00
09/13/2019,$379.76,3628926,$377.39,$381.75,$377.05
09/12/2019,$375.63,4495290,$383.71,$384.00,$374.31
09/11/2019,$382.94,8437022,$368.74,$383.50,$368.00
09/10/2019,$369.49,4547237,$359.00,$369.49,$358.55
09/09/2019,$358.78,4183288,$357.98,$360.93,$354.73
09/06/2019,$363.00,3022591,$361.61,$364.91,$359.12
09/05/2019,$360.30,3646077,$360.14,$364.71,$359.13
09/04/2019,$356.53,2752789,$357.68,$358.0316,$354.43
09/03/2019,$354.42,4273831,$354.11,$355.32,$350.605
08/30/2019,$364.09,3147903,$364.37,$366.37,$362.40
08/29/2019,$362.74,2718316,$363.85,$366.04,$360.17
08/28/2019,$359.97,2409302,$353.31,$360.19,$351.18
08/27/2019,$354.73,3742125,$359.42,$361.3093,$353.62
08/26/2019,$359.04,4665447,$365.04,$367.34,$356.89
08/23/2019,$356.01,11527790,$355.35,$369.69,$354.35
08/22/2019,$354.41,8325094,$342.43,$356.44,$341.01
08/21/2019,$339.99,3266453,$335.48,$342.58,$333.21
08/20/2019,$331.75,2039413,$332.47,$333.50,$328.88
08/19/2019,$333.78,2335628,$334.18,$335.91,$331.40
08/16/2019,$330.45,3866567,$330.22,$331.16,$326.4801
08/15/2019,$328.00,4721760,$323.00,$328.07,$319.55
08/14/2019,$320.42,5110375,$328.35,$329.54,$320.41
08/13/2019,$332.86,3722995,$331.82,$337.399,$330.50
08/12/2019,$332.94,2683390,$333.68,$336.01,$331.37
08/09/2019,$337.55,3102912,$334.06,$339.08,$333.165
08/08/2019,$336.35,3672980,$331.30,$336.43,$328.86
08/07/2019,$331.38,4187612,$328.60,$333.65,$324.57
08/06/2019,$332.45,3653260,$333.99,$335.70,$329.14
08/05/2019,$331.06,5876085,$332.46,$333.37,$326.955
08/02/2019,$339.56,4675379,$334.56,$340.535,$332.32
08/01/2019,$334.29,6465267,$341.91,$344.29,$333.00
07/31/2019,$341.18,5219748,$348.49,$351.285,$341.05
07/30/2019,$347.46,4527975,$339.84,$347.49,$336.56
07/29/2019,$340.21,4116566,$344.99,$346.08,$339.11
07/26/2019,$345.00,4441078,$346.20,$348.425,$342.00
